solve_id,solve_type,method,warm_start,min_search_proportion,threshold_proportion,remove_constraints,sub_solve_id,n,p,q,cut_type,cut_value,cuts_sought,cuts_added,cuts_removed,search_proportion_used,current_threshold,variables,constraints,cpu_time,act_tol,removal_method
1,iterative,auto,warm,1,0.0,True,3,100,0.5,0.2,fixed,1000,1000,1000,1000.0,1,,4950,1001,0.0334024599999907,0.0001,dual_0_once
1,iterative,auto,warm,1,0.0,True,4,100,0.5,0.2,fixed,1000,1000,1000,601.0,1,,4950,1400,0.05348486899998761,0.0001,dual_0_once
1,iterative,auto,warm,1,0.0,True,5,100,0.5,0.2,fixed,1000,1000,1000,557.0,1,,4950,1843,0.07174822600001107,0.0001,dual_0_once
1,iterative,auto,warm,1,0.0,True,6,100,0.5,0.2,fixed,1000,1000,1000,384.0,1,,4950,2459,0.1343462659999659,0.0001,dual_0_once
1,iterative,auto,warm,1,0.0,True,7,100,0.5,0.2,fixed,1000,1000,1000,513.0,1,,4950,2946,0.22982975100001116,0.0001,dual_0_once
1,iterative,auto,warm,1,0.0,True,8,100,0.5,0.2,fixed,1000,1000,1000,837.0,1,,4950,3109,0.22248592599999029,0.0001,dual_0_once
1,iterative,auto,warm,1,0.0,True,9,100,0.5,0.2,fixed,1000,1000,1000,862.0,1,,4950,3247,0.31735363799998595,0.0001,dual_0_once
1,iterative,auto,warm,1,0.0,True,10,100,0.5,0.2,fixed,1000,1000,1000,859.0,1,,4950,3388,0.4942896989999781,0.0001,dual_0_once
1,iterative,auto,warm,1,0.0,True,11,100,0.5,0.2,fixed,1000,1000,1000,891.0,1,,4950,3497,0.4326732039999683,0.0001,dual_0_once
1,iterative,auto,warm,1,0.0,True,12,100,0.5,0.2,fixed,1000,1000,1000,858.0,1,,4950,3639,0.7102365680000275,0.0001,dual_0_once
1,iterative,auto,warm,1,0.0,True,13,100,0.5,0.2,fixed,1000,1000,1000,821.0,1,,4950,3818,2.2523778400000083,0.0001,dual_0_once
1,iterative,auto,warm,1,0.0,True,14,100,0.5,0.2,fixed,1000,1000,1000,830.0,1,,4950,3988,3.946676285000024,0.0001,dual_0_once
1,iterative,auto,warm,1,0.0,True,15,100,0.5,0.2,fixed,1000,1000,1000,816.0,1,,4950,4172,5.472487817999991,0.0001,dual_0_once
1,iterative,auto,warm,1,0.0,True,16,100,0.5,0.2,fixed,1000,1000,1000,894.0,1,,4950,4278,8.184753051999962,0.0001,dual_0_once
1,iterative,auto,warm,1,0.0,True,17,100,0.5,0.2,fixed,1000,1000,1000,831.0,1,,4950,4447,10.41453570699997,0.0001,dual_0_once
1,iterative,auto,warm,1,0.0,True,18,100,0.5,0.2,fixed,1000,1000,1000,836.0,1,,4950,4611,13.002047526999945,0.0001,dual_0_once
1,iterative,auto,warm,1,0.0,True,19,100,0.5,0.2,fixed,1000,1000,1000,851.0,1,,4950,4760,15.593016637000005,0.0001,dual_0_once
1,iterative,auto,warm,1,0.0,True,20,100,0.5,0.2,fixed,1000,1000,1000,899.0,1,,4950,4861,18.556952465999984,0.0001,dual_0_once
1,iterative,auto,warm,1,0.0,True,21,100,0.5,0.2,fixed,1000,1000,1000,905.0,1,,4950,4956,21.31559814599996,0.0001,dual_0_once
1,iterative,auto,warm,1,0.0,True,22,100,0.5,0.2,fixed,1000,1000,1000,899.0,1,,4950,5057,24.564596036999887,0.0001,dual_0_once
1,iterative,auto,warm,1,0.0,True,23,100,0.5,0.2,fixed,1000,1000,1000,928.0,1,,4950,5129,27.001585463000087,0.0001,dual_0_once
1,iterative,auto,warm,1,0.0,True,24,100,0.5,0.2,fixed,1000,1000,1000,950.0,1,,4950,5179,29.05988224800001,0.0001,dual_0_once
1,iterative,auto,warm,1,0.0,True,25,100,0.5,0.2,fixed,1000,1000,1000,920.0,1,,4950,5259,29.703278799000028,0.0001,dual_0_once
1,iterative,auto,warm,1,0.0,True,26,100,0.5,0.2,fixed,1000,1000,1000,954.0,1,,4950,5305,32.38771125300002,0.0001,dual_0_once
1,iterative,auto,warm,1,0.0,True,27,100,0.5,0.2,fixed,1000,1000,1000,966.0,1,,4950,5339,32.67293375700001,0.0001,dual_0_once
1,iterative,auto,warm,1,0.0,True,28,100,0.5,0.2,fixed,1000,1000,1000,1004.0,1,,4950,5335,34.58628993400009,0.0001,dual_0_once
1,iterative,auto,warm,1,0.0,True,29,100,0.5,0.2,fixed,1000,1000,1000,977.0,1,,4950,5358,31.80242647,0.0001,dual_0_once
1,iterative,auto,warm,1,0.0,True,30,100,0.5,0.2,fixed,1000,1000,1000,998.0,1,,4950,5360,29.319197938999988,0.0001,dual_0_once
1,iterative,auto,warm,1,0.0,True,31,100,0.5,0.2,fixed,1000,1000,1000,1027.0,1,,4950,5333,24.46268031599993,0.0001,dual_0_once
1,iterative,auto,warm,1,0.0,True,32,100,0.5,0.2,fixed,1000,1000,1000,1015.0,1,,4950,5318,21.424226981999933,0.0001,dual_0_once
