solve_id,solve_type,method,warm_start,sub_solve_id,n,p,q,cut_type,cut_value,cuts_sought,cuts_added,min_order,min_proportion,proportion_used,variables,constraints,cpu_time
26,iterative,dual,warm,2,80,0.8,0.1,fixed,1000,1000,1000,0,0.01,0.1,3160,2101,0.037156643999878725
26,iterative,dual,warm,3,80,0.8,0.1,fixed,1000,1000,1000,0,0.01,1,3160,3101,0.008175801999641408
27,once,dual,cold,0,80,0.8,0.1,fixed,3000,328640,328640,2,1,1,3160,328641,19.382580382000015
27,iterative,dual,warm,0,80,0.8,0.1,fixed,3000,100,100,2,1,1,3160,101,0.007179188000009162
27,iterative,dual,warm,1,80,0.8,0.1,fixed,3000,3000,3000,2,1,1,3160,3101,0.06793875299990759
27,iterative,dual,warm,2,80,0.8,0.1,fixed,3000,3000,2282,2,1,1,3160,5383,0.0114617699991868
28,once,dual,cold,0,80,0.8,0.1,fixed,3000,328640,328640,1,1,1,3160,328641,24.25333215899991
28,iterative,dual,warm,0,80,0.8,0.1,fixed,3000,100,100,1,0.1,1,3160,101,0.008129937999910908
28,iterative,dual,warm,1,80,0.8,0.1,fixed,3000,3000,3000,1,0.1,0.1,3160,3101,0.058046092999575194
28,iterative,dual,warm,2,80,0.8,0.1,fixed,3000,3000,3000,1,0.1,1,3160,6101,0.01879967500008206
29,once,dual,cold,0,80,0.8,0.1,fixed,3000,328640,328640,0,1,1,3160,328641,24.821242190999328
29,iterative,dual,warm,0,80,0.8,0.1,fixed,3000,100,100,0,0.01,1,3160,101,0.007940786000290245
29,iterative,dual,warm,1,80,0.8,0.1,fixed,3000,3000,3000,0,0.01,0.1,3160,3101,0.07993918000011035
29,iterative,dual,warm,2,80,0.8,0.1,fixed,3000,3000,1307,0,0.01,1,3160,4408,0.009654020000198216
30,once,dual,cold,0,80,0.8,0.1,fixed,10000,328640,328640,1,1,1,3160,328641,24.13659562200064
30,iterative,dual,warm,0,80,0.8,0.1,fixed,10000,100,100,1,1,1,3160,101,0.007290183000804973
