solve_id,solve_type,method,warm_start,sub_solve_id,n,p,q,cut_type,cut_value,cuts_sought,cuts_added,variables,constraints,cpu_time
0,iterative,dual,warm,49,60,0.5,0.1,proportion,0.01,1368,1368,1770,67133,182.450000543
0,iterative,dual,warm,50,60,0.5,0.1,proportion,0.01,1368,1368,1770,68501,189.69892009199975
0,iterative,dual,warm,51,60,0.5,0.1,proportion,0.01,1368,1368,1770,69869,210.42501064499993
0,iterative,dual,warm,52,60,0.5,0.1,proportion,0.01,1368,1368,1770,71237,171.7267701579999
0,iterative,dual,warm,53,60,0.5,0.1,proportion,0.01,1368,1368,1770,72605,229.41926288800005
0,iterative,dual,warm,54,60,0.5,0.1,proportion,0.01,1368,1368,1770,73973,137.05362258200057
0,iterative,dual,warm,55,60,0.5,0.1,proportion,0.01,1368,1368,1770,75341,247.2230580559999
0,iterative,dual,warm,56,60,0.5,0.1,proportion,0.01,1368,1368,1770,76709,138.48106186899986
0,iterative,dual,warm,57,60,0.5,0.1,proportion,0.01,1368,1368,1770,78077,237.84489345099973
0,iterative,dual,warm,58,60,0.5,0.1,proportion,0.01,1368,1368,1770,79445,203.84601812500023
0,iterative,dual,warm,59,60,0.5,0.1,proportion,0.01,1368,1368,1770,80813,202.18819547299972
0,iterative,dual,warm,60,60,0.5,0.1,proportion,0.01,1368,1368,1770,82181,227.74734071000057
0,iterative,dual,warm,61,60,0.5,0.1,proportion,0.01,1368,1368,1770,83549,223.86558961599985
0,iterative,dual,warm,62,60,0.5,0.1,proportion,0.01,1368,1368,1770,84917,333.664161185
0,iterative,dual,warm,63,60,0.5,0.1,proportion,0.01,1368,1368,1770,86285,290.22738620699965
0,iterative,dual,warm,64,60,0.5,0.1,proportion,0.01,1368,1368,1770,87653,60.443598381999436
0,iterative,dual,warm,65,60,0.5,0.1,proportion,0.01,1368,1368,1770,89021,102.83523049799987
0,iterative,dual,warm,66,60,0.5,0.1,proportion,0.01,1368,1368,1770,90389,167.72484854699997
0,iterative,dual,warm,67,60,0.5,0.1,proportion,0.01,1368,1368,1770,91757,67.43987746399944
0,iterative,dual,warm,68,60,0.5,0.1,proportion,0.01,1368,1368,1770,93125,144.0776060520002
0,iterative,dual,warm,69,60,0.5,0.1,proportion,0.01,1368,1368,1770,94493,170.41262468599962
0,iterative,dual,warm,70,60,0.5,0.1,proportion,0.01,1368,1368,1770,95861,315.06694427099956
0,iterative,dual,warm,71,60,0.5,0.1,proportion,0.01,1368,1368,1770,97229,163.61198929700004
0,iterative,dual,warm,72,60,0.5,0.1,proportion,0.01,1368,1368,1770,98597,274.41877460900014
0,iterative,dual,warm,73,60,0.5,0.1,proportion,0.01,1368,1368,1770,99965,204.9063453609997
0,iterative,dual,warm,74,60,0.5,0.1,proportion,0.01,1368,1368,1770,101333,217.02355045600052
0,iterative,dual,warm,75,60,0.5,0.1,proportion,0.01,1368,944,1770,102277,234.08805084100095
0,iterative,dual,warm,76,60,0.5,0.1,proportion,0.01,1368,380,1770,102657,156.7880410079997
